statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND168;Vereinigtes Königreich;0,1;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND168;Vereinigtes Königreich;65706;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND122;Bosnien und Herzegowina;0,2;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND122;Bosnien und Herzegowina;202016;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND144;Nordmazedonien (bis 2019: Mazedonien);0,1;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND144;Nordmazedonien (bis 2019: Mazedonien);121944;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND142;Litauen;0,1;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND142;Litauen;49103;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND121;Albanien;0,1;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;STALD4;Staatsangehörigkeit (Häufigste Länder);LAND121;Albanien;81874;Anzahl;PRS001;Personen;e
